Depth,age,NoteW,Source
77.49,2.487,updated_Age,Wilkens et al. 2017
79.38,2.545,updated_Age,Wilkens et al. 2017
81.44,2.602,updated_Age,Wilkens et al. 2017
82.09,2.624,updated_Age,Wilkens et al. 2017
82.94,2.648,updated_Age,Wilkens et al. 2017
85.64,2.717,updated_Age,Wilkens et al. 2017
87.11,2.765,updated_Age,Wilkens et al. 2017
87.68,2.785,updated_Age,Wilkens et al. 2017
88.29,2.808,updated_Age,Wilkens et al. 2017
88.76,2.832,updated_Age,Wilkens et al. 2017
89.46,2.853,updated_Age,Wilkens et al. 2017
89.96,2.873,updated_Age,Wilkens et al. 2017
90.39,2.887,updated_Age,Wilkens et al. 2017
90.93,2.904,updated_Age,Wilkens et al. 2017
91.53,2.924,updated_Age,Wilkens et al. 2017
92.15,2.946,updated_Age,Wilkens et al. 2017
92.79,2.968,updated_Age,Wilkens et al. 2017
93.06,2.979,updated_Age,Wilkens et al. 2017
93.34,2.992,updated_Age,Wilkens et al. 2017
94.44,3.028,updated_Age,Wilkens et al. 2017
95.14,3.05,updated_Age,Wilkens et al. 2017
95.94,3.072,updated_Age,Wilkens et al. 2017
96.24,3.083,updated_Age,Wilkens et al. 2017
97.38,3.121,updated_Age,Wilkens et al. 2017
97.71,3.132,updated_Age,Wilkens et al. 2017
98.13,3.143,updated_Age,Wilkens et al. 2017
98.46,3.155,updated_Age,Wilkens et al. 2017
98.95,3.165,updated_Age,Wilkens et al. 2017
99.18,3.175,updated_Age,Wilkens et al. 2017
99.44,3.185,updated_Age,Wilkens et al. 2017
100.35,3.221,updated_Age,Wilkens et al. 2017
100.89,3.239,updated_Age,Wilkens et al. 2017
101.76,3.259,updated_Age,Wilkens et al. 2017
102.72,3.286,updated_Age,Wilkens et al. 2017
103.28,3.315,updated_Age,Wilkens et al. 2017
103.58,3.325,updated_Age,Wilkens et al. 2017
103.88,3.337,updated_Age,Wilkens et al. 2017
104.48,3.356,updated_Age,Wilkens et al. 2017
105.18,3.383,updated_Age,Wilkens et al. 2017
105.78,3.409,updated_Age,Wilkens et al. 2017
105.98,3.419,updated_Age,Wilkens et al. 2017
106.28,3.429,updated_Age,Wilkens et al. 2017
106.61,3.44,updated_Age,Wilkens et al. 2017
106.85,3.45,updated_Age,Wilkens et al. 2017
107.18,3.462,updated_Age,Wilkens et al. 2017
107.45,3.471,updated_Age,Wilkens et al. 2017
107.78,3.483,updated_Age,Wilkens et al. 2017
108.59,3.513,updated_Age,Wilkens et al. 2017
108.92,3.523,updated_Age,Wilkens et al. 2017
109.25,3.534,updated_Age,Wilkens et al. 2017
109.64,3.545,updated_Age,Wilkens et al. 2017
109.88,3.554,updated_Age,Wilkens et al. 2017
110.18,3.564,updated_Age,Wilkens et al. 2017
110.81,3.585,updated_Age,Wilkens et al. 2017
111.71,3.611,updated_Age,Wilkens et al. 2017
112.07,3.621,updated_Age,Wilkens et al. 2017
112.58,3.639,updated_Age,Wilkens et al. 2017
112.85,3.649,updated_Age,Wilkens et al. 2017
113.75,3.675,updated_Age,Wilkens et al. 2017
114.07,3.686,updated_Age,Wilkens et al. 2017
115.07,3.716,updated_Age,Wilkens et al. 2017
115.97,3.747,updated_Age,Wilkens et al. 2017
116.27,3.756,updated_Age,Wilkens et al. 2017
117.17,3.788,updated_Age,Wilkens et al. 2017
117.47,3.799,updated_Age,Wilkens et al. 2017
117.77,3.808,updated_Age,Wilkens et al. 2017
118.17,3.819,updated_Age,Wilkens et al. 2017
118.57,3.831,updated_Age,Wilkens et al. 2017
118.94,3.841,updated_Age,Wilkens et al. 2017
119.3,3.852,updated_Age,Wilkens et al. 2017
119.57,3.862,updated_Age,Wilkens et al. 2017
119.96,3.875,updated_Age,Wilkens et al. 2017
120.83,3.903,updated_Age,Wilkens et al. 2017
121.07,3.913,updated_Age,Wilkens et al. 2017
121.46,3.924,updated_Age,Wilkens et al. 2017
122.21,3.946,updated_Age,Wilkens et al. 2017
122.99,3.966,updated_Age,Wilkens et al. 2017
124.55,4.01,updated_Age,Wilkens et al. 2017
124.97,4.019,updated_Age,Wilkens et al. 2017
125.27,4.029,updated_Age,Wilkens et al. 2017
125.63,4.04,updated_Age,Wilkens et al. 2017
126.32,4.061,updated_Age,Wilkens et al. 2017
127.47,4.095,updated_Age,Wilkens et al. 2017
127.82,4.106,updated_Age,Wilkens et al. 2017
128.22,4.116,updated_Age,Wilkens et al. 2017
128.57,4.127,updated_Age,Wilkens et al. 2017
128.87,4.137,updated_Age,Wilkens et al. 2017
129.16,4.147,updated_Age,Wilkens et al. 2017
129.72,4.16,updated_Age,Wilkens et al. 2017
130.47,4.177,updated_Age,Wilkens et al. 2017
130.82,4.187,updated_Age,Wilkens et al. 2017
131.37,4.198,updated_Age,Wilkens et al. 2017
131.97,4.209,updated_Age,Wilkens et al. 2017
132.37,4.22,updated_Age,Wilkens et al. 2017
132.72,4.231,updated_Age,Wilkens et al. 2017
132.98,4.241,updated_Age,Wilkens et al. 2017
133.4,4.252,updated_Age,Wilkens et al. 2017
133.66,4.264,updated_Age,Wilkens et al. 2017
134.05,4.279,updated_Age,Wilkens et al. 2017
134.75,4.301,updated_Age,Wilkens et al. 2017
135.05,4.313,updated_Age,Wilkens et al. 2017
135.44,4.324,updated_Age,Wilkens et al. 2017
135.74,4.334,updated_Age,Wilkens et al. 2017
135.98,4.345,updated_Age,Wilkens et al. 2017
136.25,4.355,updated_Age,Wilkens et al. 2017
136.58,4.366,updated_Age,Wilkens et al. 2017
137.83,4.416,updated_Age,Wilkens et al. 2017
138.33,4.437,updated_Age,Wilkens et al. 2017
138.93,4.455,updated_Age,Wilkens et al. 2017
139.52,4.477,updated_Age,Wilkens et al. 2017
140.08,4.495,updated_Age,Wilkens et al. 2017
141.01,4.542,updated_Age,Wilkens et al. 2017
141.3,4.554,updated_Age,Wilkens et al. 2017
141.63,4.567,updated_Age,Wilkens et al. 2017
142,4.578,updated_Age,Wilkens et al. 2017
142.27,4.588,updated_Age,Wilkens et al. 2017
142.6,4.599,updated_Age,Wilkens et al. 2017
142.96,4.611,updated_Age,Wilkens et al. 2017
143.47,4.634,updated_Age,Wilkens et al. 2017
143.74,4.645,updated_Age,Wilkens et al. 2017
144.1,4.657,updated_Age,Wilkens et al. 2017
144.4,4.669,updated_Age,Wilkens et al. 2017
144.7,4.681,updated_Age,Wilkens et al. 2017
145.18,4.702,updated_Age,Wilkens et al. 2017
145.75,4.727,updated_Age,Wilkens et al. 2017
146.32,4.748,updated_Age,Wilkens et al. 2017
146.95,4.773,updated_Age,Wilkens et al. 2017
147.55,4.792,updated_Age,Wilkens et al. 2017
148.24,4.814,updated_Age,Wilkens et al. 2017
149.38,4.85,updated_Age,Wilkens et al. 2017
150.74,4.898,updated_Age,Wilkens et al. 2017
151.34,4.923,updated_Age,Wilkens et al. 2017
151.99,4.942,updated_Age,Wilkens et al. 2017
152.635,4.966,Zeeden,Wilkens et al. 2017
153.85,5.014,Zeeden,Wilkens et al. 2017
154.3,5.036,Zeeden,Wilkens et al. 2017
155,5.057,Zeeden,Wilkens et al. 2017
155.41,5.08,Zeeden,Wilkens et al. 2017
155.86,5.103,Zeeden,Wilkens et al. 2017
156.43,5.13,Zeeden,Wilkens et al. 2017
156.91,5.15,Zeeden,Wilkens et al. 2017
157.51,5.172,Zeeden,Wilkens et al. 2017
157.96,5.192,Zeeden,Wilkens et al. 2017
158.56,5.222,Zeeden,Wilkens et al. 2017
159.16,5.248,Zeeden,Wilkens et al. 2017
159.56,5.265,Zeeden,Wilkens et al. 2017
160.06,5.285,Zeeden,Wilkens et al. 2017
160.46,5.302,Zeeden,Wilkens et al. 2017
160.86,5.322,Zeeden,Wilkens et al. 2017
161.36,5.343,Zeeden,Wilkens et al. 2017
162.36,5.393,Zeeden,Wilkens et al. 2017
162.88,5.416,Zeeden,Wilkens et al. 2017
163.33,5.436,Zeeden,Wilkens et al. 2017
163.84,5.459,Zeeden,Wilkens et al. 2017
164.2,5.481,Zeeden,Wilkens et al. 2017
164.77,5.508,Zeeden,Wilkens et al. 2017
165.13,5.53,Zeeden,Wilkens et al. 2017
165.58,5.55,Zeeden,Wilkens et al. 2017
166.03,5.572,Zeeden,Wilkens et al. 2017
166.48,5.589,Zeeden,Wilkens et al. 2017
166.87,5.603,Zeeden,Wilkens et al. 2017
167.29,5.625,Zeeden,Wilkens et al. 2017
167.68,5.643,Zeeden,Wilkens et al. 2017
168.04,5.663,Zeeden,Wilkens et al. 2017
168.4,5.68,Zeeden,Wilkens et al. 2017
168.85,5.702,Zeeden,Wilkens et al. 2017
169.29,5.721,Zeeden,Wilkens et al. 2017
169.71,5.744,Zeeden,Wilkens et al. 2017
169.95,5.754,Zeeden,Wilkens et al. 2017
170.37,5.773,Zeeden,Wilkens et al. 2017
171.01,5.794,Zeeden,Wilkens et al. 2017
171.48,5.815,Zeeden,Wilkens et al. 2017
172.05,5.837,Zeeden,Wilkens et al. 2017
172.82,5.867,Zeeden,Wilkens et al. 2017
173.22,5.887,Zeeden,Wilkens et al. 2017
173.76,5.909,Zeeden,Wilkens et al. 2017
174.12,5.929,Zeeden,Wilkens et al. 2017
174.59,5.952,Zeeden,Wilkens et al. 2017
175.15,5.983,Zeeden,Wilkens et al. 2017
175.69,6.002,Zeeden,Wilkens et al. 2017
176.09,6.024,Zeeden,Wilkens et al. 2017
176.42,6.042,Zeeden,Wilkens et al. 2017
176.78,6.061,Zeeden,Wilkens et al. 2017
177.17,6.079,Zeeden,Wilkens et al. 2017
177.53,6.099,Zeeden,Wilkens et al. 2017
178.01,6.12,Zeeden,Wilkens et al. 2017
178.28,6.138,Zeeden,Wilkens et al. 2017
178.59,6.155,Zeeden,Wilkens et al. 2017
178.91,6.172,Zeeden,Wilkens et al. 2017
179.27,6.194,Zeeden,Wilkens et al. 2017
179.54,6.214,Zeeden,Wilkens et al. 2017
179.84,6.237,Zeeden,Wilkens et al. 2017
180.34,6.267,Zeeden,Wilkens et al. 2017
180.72,6.287,Zeeden,Wilkens et al. 2017
181.09,6.309,Zeeden,Wilkens et al. 2017
181.56,6.329,Zeeden,Wilkens et al. 2017
181.98,6.353,Zeeden,Wilkens et al. 2017
182.55,6.381,Zeeden,Wilkens et al. 2017
182.91,6.402,Zeeden,Wilkens et al. 2017
183.27,6.422,Zeeden,Wilkens et al. 2017
183.75,6.443,Zeeden,Wilkens et al. 2017
184.04,6.458,Zeeden,Wilkens et al. 2017
184.37,6.48,Zeeden,Wilkens et al. 2017
184.74,6.497,Zeeden,Wilkens et al. 2017
185.08,6.517,Zeeden,Wilkens et al. 2017
185.37,6.533,Zeeden,Wilkens et al. 2017
185.73,6.552,Zeeden,Wilkens et al. 2017
186.16,6.573,Zeeden,Wilkens et al. 2017
186.48,6.595,Zeeden,Wilkens et al. 2017
186.98,6.615,Zeeden,Wilkens et al. 2017
187.67,6.646,Zeeden,Wilkens et al. 2017
188.1,6.665,Zeeden,Wilkens et al. 2017
