Depth,age,NoteW,Source
259.935,11.818,Zeeden,Wilkens et al. 2017
260.225,11.846,Zeeden,Wilkens et al. 2017
260.525,11.871,Zeeden,Wilkens et al. 2017
260.755,11.891,Zeeden,Wilkens et al. 2017
261.005,11.914,Zeeden,Wilkens et al. 2017
261.635,11.962,Zeeden,Wilkens et al. 2017
262.275,12.006,Zeeden,Wilkens et al. 2017
262.605,12.028,Zeeden,Wilkens et al. 2017
262.935,12.051,Zeeden,Wilkens et al. 2017
263.375,12.079,Zeeden,Wilkens et al. 2017
263.995,12.121,Zeeden,Wilkens et al. 2017
264.635,12.172,Zeeden,Wilkens et al. 2017
265.315,12.205,Zeeden,Wilkens et al. 2017
265.685,12.227,Zeeden,Wilkens et al. 2017
266.205,12.249,Zeeden,Wilkens et al. 2017
266.555,12.272,Zeeden,Wilkens et al. 2017
266.845,12.292,Zeeden,Wilkens et al. 2017
267.285,12.319,Zeeden,Wilkens et al. 2017
267.535,12.34,Zeeden,Wilkens et al. 2017
267.845,12.364,Zeeden,Wilkens et al. 2017
268.135,12.385,Zeeden,Wilkens et al. 2017
268.465,12.408,Zeeden,Wilkens et al. 2017
268.785,12.434,Zeeden,Wilkens et al. 2017
269.045,12.454,Zeeden,Wilkens et al. 2017
269.305,12.478,Zeeden,Wilkens et al. 2017
271.335,12.606,Zeeden,Wilkens et al. 2017
271.685,12.626,Zeeden,Wilkens et al. 2017
272.055,12.649,Zeeden,Wilkens et al. 2017
272.395,12.669,Zeeden,Wilkens et al. 2017
272.955,12.698,Zeeden,Wilkens et al. 2017
273.325,12.719,Zeeden,Wilkens et al. 2017
273.685,12.741,Zeeden,Wilkens et al. 2017
274.135,12.763,Zeeden,Wilkens et al. 2017
274.995,12.813,Zeeden,Wilkens et al. 2017
275.325,12.833,Zeeden,Wilkens et al. 2017
275.715,12.856,Zeeden,Wilkens et al. 2017
276.025,12.876,Zeeden,Wilkens et al. 2017
276.495,12.908,Zeeden,Wilkens et al. 2017
277.255,12.928,Zeeden,Wilkens et al. 2017
277.685,12.948,Zeeden,Wilkens et al. 2017
278.025,12.97,Zeeden,Wilkens et al. 2017
278.785,13.018,Zeeden,Wilkens et al. 2017
279.215,13.04,Zeeden,Wilkens et al. 2017
279.555,13.057,Zeeden,Wilkens et al. 2017
280.345,13.092,Zeeden,Wilkens et al. 2017
280.705,13.112,Zeeden,Wilkens et al. 2017
280.965,13.133,Zeeden,Wilkens et al. 2017
281.185,13.154,Zeeden,Wilkens et al. 2017
281.395,13.174,Zeeden,Wilkens et al. 2017
281.755,13.207,Zeeden,Wilkens et al. 2017
282.015,13.226,Zeeden,Wilkens et al. 2017
282.405,13.248,Zeeden,Wilkens et al. 2017
282.715,13.267,Zeeden,Wilkens et al. 2017
283.565,13.322,Zeeden,Wilkens et al. 2017
283.765,13.341,Zeeden,Wilkens et al. 2017
284.415,13.379,Zeeden,Wilkens et al. 2017
284.715,13.398,Zeeden,Wilkens et al. 2017
284.975,13.418,Zeeden,Wilkens et al. 2017
286.445,13.492,Zeeden,Wilkens et al. 2017
286.715,13.512,Zeeden,Wilkens et al. 2017
287.045,13.534,Zeeden,Wilkens et al. 2017
288.025,13.584,Zeeden,Wilkens et al. 2017
288.555,13.606,Zeeden,Wilkens et al. 2017
288.925,13.626,Zeeden,Wilkens et al. 2017
289.325,13.648,Zeeden,Wilkens et al. 2017
289.805,13.667,Zeeden,Wilkens et al. 2017
290.455,13.691,Zeeden,Wilkens et al. 2017
290.875,13.713,Zeeden,Wilkens et al. 2017
291.445,13.733,Zeeden,Wilkens et al. 2017
291.955,13.752,Zeeden,Wilkens et al. 2017
292.905,13.787,Zeeden,Wilkens et al. 2017
293.505,13.809,Zeeden,Wilkens et al. 2017
295.361,13.902,Zeeden,Wilkens et al. 2017
295.771,13.926,Zeeden,Wilkens et al. 2017
296.221,13.949,Zeeden,Wilkens et al. 2017
296.701,13.974,Zeeden,Wilkens et al. 2017
297.081,13.996,Zeeden,Wilkens et al. 2017
297.451,14.017,Zeeden,Wilkens et al. 2017
298.681,14.09,Zeeden,Wilkens et al. 2017
299.011,14.108,Zeeden,Wilkens et al. 2017
299.511,14.132,Zeeden,Wilkens et al. 2017
299.801,14.147,Zeeden,Wilkens et al. 2017
300.431,14.17,Zeeden,Wilkens et al. 2017
301.011,14.215,Zeeden,Wilkens et al. 2017
301.381,14.239,Zeeden,Wilkens et al. 2017
301.641,14.259,Zeeden,Wilkens et al. 2017
302.441,14.304,Zeeden,Wilkens et al. 2017
302.881,14.329,Zeeden,Wilkens et al. 2017
303.351,14.35,Zeeden,Wilkens et al. 2017
303.911,14.374,Zeeden,Wilkens et al. 2017

