"x","y"
0,0.340480383616143
1,0.594317113283336
2,0.841639449003311
3,1.07570836255482
4,1.29090799708683
5,1.48094859292616
6,1.64043892749581
7,1.76511094958899
8,1.85035965658784
9,1.89326480292981
10,1.89191699728556
11,1.84474379973679
12,1.7517452102835
13,1.61449366884398
14,1.43467393247356
15,1.21588014955688
16,0.96282963984884
17,0.680801308789412
18,0.376421867462829
19,0.0578904668716131
20,-0.26782923048894
21,-0.590965633698014
22,-0.90242105465691
23,-1.19377170808908
24,-1.45569527162177
25,-1.67954332570438
26,-1.85902611066374
27,-1.98729228114159
28,-2.0599614687941
29,-2.07478733088085
30,-2.03030974462059
31,-1.92776419852052
32,-1.77063252382831
33,-1.56273350320267
34,-1.31080616486483
35,-1.0228250255433
36,-0.705978382007391
37,-0.369925508040919
38,-0.0238764088795882
39,0.323632813063013
40,0.663616786825216
41,0.987427092856416
42,1.28832470293535
43,1.55878436888163
44,1.79296559957016
45,1.98660034379416
46,2.1353082332098
47,2.23628133939158
48,2.28884575951735
49,2.29165368794287
50,2.24594061317537
51,2.15384056081825
52,2.01793682502299
53,1.84193587131126
54,1.63066733657499
55,1.38884854056904
56,1.12254460869253
57,0.837708349207579
58,0.540404887513309
59,0.237710203242038
60,-0.064085943933066
61,-0.358693794338832
62,-0.639486636891032
63,-0.900511663327556
64,-1.13671460248247
65,-1.34281654891578
66,-1.51477408569475
67,-1.64966696725683
68,-1.74491189945053
69,-1.79882412522055
70,-1.81162827884093
71,-1.78309972603763
72,-1.71503554100298
73,-1.60968206647739
74,-1.46995954802342
75,-1.29923749975168
76,-1.10189629000599
77,-0.881754701445072
78,-0.643642370960806
79,-0.392388935445099
80,-0.132487080378779
81,0.131121240209225
82,0.393269438015959
83,0.649352510423566
84,0.894540820540145
85,1.12389241433678
86,1.33347619201775
87,1.51902410237624
88,1.67660504561653
89,1.80318645903906
90,1.89618504849235
91,1.95268056841386
92,1.97166216457038
93,1.95155739704365
94,1.89202931442258
95,1.79341486811824
96,1.65694954663788
97,1.48409347276274
98,1.27821616060347
99,1.04279944140771
100,0.782336000656283
101,0.502554012337275
102,0.209855553260863
103,-0.0892449826257433
104,-0.386885395731073
105,-0.675765072148778
106,-0.947909495150371
107,-1.19523183087035
108,-1.41088073395043
109,-1.58800485903236
110,-1.72031444644296
111,-1.80376607924947
112,-1.8351025604783
113,-1.81207754738902
114,-1.7355895770778
115,-1.60721108946293
116,-1.42997464724398
117,-1.20972074154604
118,-0.952851449179289
119,-0.666218115502003
120,-0.359480014297976
121,-0.0408362965697424
122,0.280390715309971
123,0.594541747557378
124,0.893193014895893
125,1.16837000059705
126,1.41176123652129
127,1.61797550009163
128,1.78139693445701
129,1.8975328541366
130,1.96402459925296
131,1.97918741275078
132,1.94245970894496
133,1.85563856202781
134,1.72097031473978
135,1.5419367983285
136,1.32426618678203
137,1.07379897122547
138,0.797498814154102
139,0.504014135118545
140,0.20087018229919
141,-0.10305999047931
142,-0.398454060844226
143,-0.677899097752174
144,-0.932858998789571
145,-1.15580851577602
146,-1.34101947472345
147,-1.48287601878082
148,-1.57711009674134
149,-1.62214926868671
150,-1.61642109469864
151,-1.56104874614735
152,-1.45884015145835
153,-1.31361409329035
154,-1.1304248428093
155,-0.916573013921543
156,-0.678236049163234
157,-0.423613099536904
158,-0.160117096085918
159,0.10506366442038
160,0.364740885212652
161,0.61273712375476
162,0.843661157469689
163,1.05257103232852
164,1.23542333139852
165,1.38963476052818
166,1.51228507415499
167,1.60202646663467
168,1.65784808373404
169,1.67918833976801
170,1.66638418614763
171,1.62055879424311
172,1.54238606687658
173,1.43411234678845
174,1.29832092813021
175,1.13770742219035
176,0.955529025942485
177,0.755941473456378
178,0.542538913116705
179,0.319701713267281
180,0.0915856079778733
181,-0.137653668681744
182,-0.363972699778816
183,-0.582991116969532
184,-0.790777820458156
185,-0.983289393311943
186,-1.15659473573516
187,-1.30698738220612
188,-1.43087318434015
189,-1.52499494516365
190,-1.58665705338811
191,-1.6135008491361
192,-1.60361694107826
193,-1.55633142639247
194,-1.47119503653065
195,-1.34876935717789
196,-1.19073914538951
197,-0.999463061042954
198,-0.777861349700757
199,-0.530763648254818
200,-0.262438007911939
201,0.0213873973398249
202,0.314310490690279
203,0.610041512466256
204,0.902178385857567
205,1.18308354554678
206,1.44646723186075
207,1.68615200226331
208,1.89539882853321
