"x","y"
0,-0.834960554016345
1,-0.799870618793407
2,-0.774183868826289
3,-0.747503286271157
4,-0.719599525146163
5,-0.701098949276988
6,-0.678546594395144
7,-0.66409779753864
8,-0.645520773008849
9,-0.634435717219468
10,-0.626790851157825
11,-0.613641681531801
12,-0.612418502961938
13,-0.609513453858514
14,-0.607372891361254
15,-0.610736632428377
16,-0.616470281974608
17,-0.622051034199607
18,-0.632753846685907
19,-0.642233480602343
20,-0.659052185937956
21,-0.671895560921515
22,-0.688561368935895
23,-0.709661199266028
24,-0.728467569777668
25,-0.745821415737596
26,-0.773419382220124
27,-0.790849676840669
28,-0.814701658952993
29,-0.838782987047166
30,-0.860647303983463
31,-0.885187324041335
32,-0.90559911642592
33,-0.930674277108106
34,-0.951697658777623
35,-0.969510196701249
36,-0.991680308280012
37,-1.00911060290056
38,-1.02080724797487
39,-1.03854333723788
40,-1.04695268990569
41,-1.05497979927041
42,-1.06178373006527
43,-1.06300690863513
44,-1.06400074122315
45,-1.05734970774952
46,-1.0535272747187
47,-1.04251866758993
48,-1.02761117876973
49,-1.0120921006646
50,-0.995655638632066
51,-0.968287018131386
52,-0.948486815031733
53,-0.921423989173519
54,-0.891609011533114
55,-0.863399455765654
56,-0.832131953573537
57,-0.800252862096489
58,-0.765927413479715
59,-0.732366451469105
60,-0.699875770707126
61,-0.660581159150284
62,-0.627402440442757
63,-0.593306337807832
64,-0.553094342323594
65,-0.519992072276683
66,-0.482608677235252
67,-0.445760422818136
68,-0.407459643849308
69,-0.370534940771576
70,-0.332081264481516
71,-0.29309244756714
72,-0.250663440925025
73,-0.215267711059621
74,-0.169398514689768
75,-0.127810443314434
76,-0.0882100371151266
77,-0.0417292514603414
78,0.0016935877697867
79,0.0447341836968328
80,0.0902975854242208
81,0.136090333133458
82,0.180659902272833
83,0.226070406678988
84,0.270181283854664
85,0.319261323970407
86,0.36107874132759
87,0.406259899751896
88,0.456716015758736
89,0.495551935351878
90,0.54424973216454
91,0.588360609340215
92,0.63078961598233
93,0.674594698515541
94,0.716641461854573
95,0.758000187248058
96,0.799894053265858
97,0.83551912911311
98,0.8806238388768
99,0.914414146869259
100,0.95072726066206
101,0.989180936952121
102,1.01991329851992
103,1.0514865953545
104,1.08137802165553
105,1.10844084751374
106,1.13359245685654
107,1.15431004388359
108,1.17785623135345
109,1.19452203936783
110,1.20728896569078
111,1.22494860629317
112,1.23121739646371
113,1.23962674913152
114,1.24306693885926
115,1.24589553930207
116,1.24253179823495
117,1.23763908395549
118,1.2306822558394
119,1.21967364871064
120,1.20384877596304
121,1.18687717330619
122,1.16929398136441
123,1.1408550796151
124,1.11761468678771
125,1.08848774709285
126,1.05393295249423
127,1.02151872039287
128,0.983523736066505
129,0.946063892364458
130,0.903787783043576
131,0.860670738455914
132,0.819847153686744
133,0.771608048837781
134,0.723063149346352
135,0.682927602522731
136,0.627043631612125
137,0.582779857115217
138,0.534693649587487
139,0.485231366168661
140,0.439209272477575
141,0.390740821646762
142,0.346706393131703
143,0.302595515956027
144,0.256267627622475
145,0.221712833023852
146,0.179666069684819
147,0.144652583122497
148,0.116137232712572
149,0.0866280497146325
150,0.0623173756386099
151,0.0437403511088191
152,0.0290622082704661
153,0.0170597685536877
154,0.011861259631771
155,0.0104851837406754
156,0.0157601413232085
157,0.0202706122995775
158,0.0370893176351903
159,0.0536786769889542
160,0.0723321501793615
161,0.100159462643739
162,0.127833877786884
163,0.156960817481741
164,0.19205075270468
165,0.228058071855015
166,0.263912493684117
167,0.304200937828972
168,0.342578165458416
169,0.386918388615941
170,0.424301783657372
171,0.469177147439212
172,0.51259998666934
173,0.551741700904949
174,0.596922859329255
175,0.639351865971369
176,0.680557694043622
177,0.722833803364503
178,0.765339258667235
179,0.806545086739486
180,0.846909979544958
181,0.886281039762415
182,0.930468365598707
183,0.964946711536714
184,1.00569384764527
185,1.04674677839629
186,1.08107222701306
187,1.11769113544833
188,1.15706219566578
189,1.18680072464557
190,1.22380187638392
191,1.25247012411508
192,1.28603108612569
193,1.31462288519623
194,1.3405389811452
195,1.37318255922841
196,1.39665229803765
197,1.42119231809553
198,1.45008991180853
199,1.47187778008421
200,1.49427723764483
201,1.51897015502393
202,1.53861746080235
203,1.56094046970235
204,1.57775917503796
205,1.59809451876193
206,1.6170537865948
207,1.62806239372357
208,1.64801549414445
209,1.65963569055815
210,1.67049140036568
211,1.68134711017321
212,1.69182057667766
213,1.69594880435095
214,1.70206469720026
215,1.7050461949643
216,1.70695741147971
217,1.70451105433999
218,1.70214114586088
219,1.70022992934547
220,1.68929777087732
221,1.68172935347629
222,1.67148523295369
223,1.6552016682424
224,1.63930034683418
225,1.62034107900131
226,1.59786517278008
227,1.57401319066776
228,1.54205765053009
229,1.51767052779345
230,1.47776432695168
231,1.44160411048011
232,1.40452651008115
233,1.35781637844451
234,1.31232942537774
235,1.26592508838357
236,1.21248747461269
237,1.16080818003599
238,1.10278364662813
239,1.04659388107505
240,0.986963925794244
241,0.919689104451792
242,0.861588122383311
243,0.791866943901133
244,0.723292495328202
245,0.65792889050116
246,0.58507331693371
247,0.514816997827217
248,0.442496564884081
249,0.370787721225876
250,0.297549904355343
251,0.224388536145426
252,0.151609411238592
253,0.0835701032899755
254,0.00849751856464824
255,-0.055719356353147
256,-0.121235858501421
257,-0.186370117346614
258,-0.243630164148314
259,-0.297373572561659
260,-0.350123148386991
261,-0.394234025562667
262,-0.434063777743823
263,-0.468083431718132
264,-0.496292987485592
265,-0.517775061118806
266,-0.529089462890037
267,-0.539792275376336
